Crash Severity ,Cities / Municipalities,Crash Location,Latitude - Geocoded,Longitude - Geocoded
Fatal Injury,Newark City,BERGEN ST,40.735853,-74.1944
Fatal Injury,Newark City,RAYMOND BLVD,40.733689,-74.145297
Fatal Injury,Newark City,S 11TH ST,40.740566,-74.201568
Fatal Injury,Newark City,MADISON AVE,40.725982,-74.211955
Fatal Injury,Newark City,BLOOMFIELD PL,40.753477,-74.170741
Fatal Injury,Newark City,US 1,40.689053,-74.19204
Fatal Injury,Newark City,ESSEX COUNTY 605,40.748347,-74.231907
Fatal Injury,Newark City,SIXTEENTH AVE,40.735883,-74.203445
Fatal Injury,Newark City,US 1,40.688792,-74.192149
Fatal Injury,Newark City,NJ 21,40.722671,-74.17684
Fatal Injury,Newark City,I-78,40.710308,-74.179953
Fatal Injury,Newark City,US 1,40.734786,-74.124165
Fatal Injury,Newark City,MC WHORTER ST,40.726337,-74.168799
Fatal Injury,Newark City,I-78,40.715418,-74.206997
Fatal Injury,Newark City,ESSEX COUNTY 658,40.759099,-74.186732
Fatal Injury,Newark City,US 1,40.699558,-74.18572
Fatal Injury,Newark City,US 1,40.721823,-74.147185
Fatal Injury,Newark City,ROUTE 508,40.746503,-74.186038
Fatal Injury,Newark City,S. 12TH ST,40.743225,-74.201293
Fatal Injury,Newark City,NJ 21,40.725978,-74.173349
Fatal Injury,Newark City,BERGEN ST,40.713443,-74.203841
Fatal Injury,Newark City,I-78,40.709599,-74.183252
Fatal Injury,Newark City,COLUMBIA AVE,40.745076,-74.218885
Fatal Injury,Newark City,TWELFTH ST,40.740917,-74.202404
Fatal Injury,Newark City,NJ 21,40.770089,-74.157672
Fatal Injury,Newark City,ESSEX COUNTY 619,40.740916,-74.230627
Fatal Injury,Newark City,NJ 21,40.733306,-74.166841
Fatal Injury,Newark City,US 22,40.708184,-74.177692
Fatal Injury,Newark City,CLINTON AVENUE,40.724353,-74.184147
